cellid,x,y,z,nonzero_voxels,vth,order_used,n_coeffs,delta_final,t_read,t_moments,t_transform
1728,5687500.0,0.0,-1812500.0,186371,238298.76638170105,4,20,0.01465194381801248,0.0558397499989951,0.006314334008493461,0.06449608301045373
4128,5687500.0,0.0,-1712500.0,186131,238271.2166544779,4,20,0.014591158287168669,0.058719000007840805,0.006095499993534759,0.060901874996488914
36096,-5112500.0,0.0,-362500.0,203456,253457.5184355828,11,286,0.045456154821065804,0.06716995900205802,0.006091000002925284,0.8349757920077536
37888,-5312500.0,0.0,-287500.0,213376,253983.53936394257,12,364,0.04628417200408055,0.07768333300191443,0.007061167008941993,1.0866840419912478
6112,-4712500.0,0.0,-1612500.0,186592,238476.20436919073,4,20,0.015420894325033723,0.05551362500409596,0.007058875009533949,0.05800941601046361
1312,-4712500.0,0.0,-1812500.0,187164,238551.07521858288,4,20,0.015304834146955831,0.05356204099371098,0.007152416001190431,0.0591633330041077
39904,87500.0,0.0,-212500.0,277696,271442.7889261373,16,816,0.04818557799491036,0.08617749999393709,0.008051333003095351,2.3790204170072684
3712,-4712500.0,0.0,-1712500.0,186912,238522.65929093835,4,20,0.015277295652036966,0.05534054199233651,0.009004749997984618,0.05892458300513681
59008,-2312500.0,0.0,587500.0,195392,247649.1169217022,9,165,0.04992871270829493,0.05962975000147708,0.0064386669982923195,0.4852957080001943
40288,-5312500.0,0.0,-187500.0,238720,254181.7479413143,16,816,0.04536115686804118,0.0729447500052629,0.008197499992093071,2.4347035829996457
37504,87500.0,0.0,-312500.0,247424,279889.35850833525,18,1140,0.047090557892678325,0.07671258300251793,0.008057084007305093,3.3715223749895813
56608,-2312500.0,0.0,487500.0,197696,253053.4864922038,10,220,0.0493388933011079,0.06299262499669567,0.0061851250065956265,0.6571712090080837
58400,-2512500.0,0.0,562500.0,195776,248724.68127654685,10,220,0.04615009629399346,0.06368633300007787,0.007986417011125013,0.6339795409876388
54208,-2312500.0,0.0,387500.0,209344,261239.69140279398,11,286,0.047890194520279816,0.06820854199759196,0.0074105840030824766,0.8695332500064978
1088,4687500.0,0.0,-1837500.0,187036,238534.67344882642,4,20,0.015308687512900092,0.07400887500261888,0.013705666991882026,0.059672832998330705
3488,4687500.0,0.0,-1737500.0,186764,238515.91041830074,4,20,0.015274277846514485,0.05766191700240597,0.007229167007608339,0.06752950001100544
5888,4687500.0,0.0,-1637500.0,186960,238473.08012368306,4,20,0.015384457114315731,0.06312454100407194,0.006150500004878268,0.06159204200957902
42112,-4712500.0,0.0,-112500.0,267292,247446.17091703613,17,969,0.04504788107803059,0.08573716699902434,0.00714874999539461,2.8134331660112366
36736,-4112500.0,0.0,-337500.0,208064,255481.515550649,11,286,0.04871123823784338,0.07303758300258778,0.0066582500003278255,0.8402828329999465
6656,-6112500.0,0.0,-1587500.0,184836,238152.80628241107,4,20,0.014428380341746181,0.058065542005351745,0.01662554100039415,0.051337874989258125
4256,-6112500.0,0.0,-1687500.0,185348,238205.6933268973,4,20,0.014326279261087127,0.05888454199885018,0.007004250001045875,0.06239170899789315
1856,-6112500.0,0.0,-1787500.0,185796,238242.6951293737,4,20,0.014371437956922434,0.05889554199529812,0.008973542004241608,0.06534433300839737
44512,-4712500.0,0.0,-12500.0,290944,245264.42068912034,18,1140,0.04940824088246705,0.0947722499986412,0.006755875001545064,3.400566084004822
43328,-4312500.0,0.0,-62500.0,283904,244865.6600299446,17,969,0.047143187447418425,0.09033145899593364,0.007266415996127762,2.9021428749983897
6176,-3112500.0,0.0,-1612500.0,188555,239051.96272556373,4,20,0.01604748326174655,0.05820912499621045,0.011652874993160367,0.05427208400215022
3776,-3112500.0,0.0,-1712500.0,188591,239081.2899350703,4,20,0.01590351438759202,0.057200583003577776,0.011614207993261516,0.061746374994982034
1376,-3112500.0,0.0,-1812500.0,188694,239090.1886503159,4,20,0.015865692940607763,0.055966750005609356,0.007421250003972091,0.06266004200733732
39136,-4112500.0,0.0,-237500.0,234112,259972.75803690494,15,680,0.04613851381853973,0.07194399999571033,0.009303291997639462,2.0220576249994338
59488,-5312500.0,0.0,612500.0,195508,247421.84076892803,9,165,0.044421520424884606,0.059179917006986216,0.010776625000289641,0.5145124169939663
51680,-5512500.0,0.0,287500.0,212279,253998.47875721357,12,364,0.0463058527587919,0.06743825000012293,0.006082624997361563,1.0849690420000115
57088,-5312500.0,0.0,512500.0,197236,251097.31547101276,10,220,0.04952382492472225,0.05379183299373835,0.0060829169960925356,0.6386708329955582
54688,-5312500.0,0.0,412500.0,200692,253632.32953167,11,286,0.04573586069122693,0.0627815420011757,0.009372792002977803,0.8625309170020046
56704,87500.0,0.0,487500.0,202167,259333.21748116612,10,220,0.04615096848592462,0.06383087499125395,0.006058624989236705,0.6307304170040879
